ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_SRR1045093,ERZ1739779,PRJEB41812,SRS512695,ERZ1739779.1-ERZ1739779.840,,
UC_ERR1913305,ERZ1739780,PRJEB41812,ERS1647314,ERZ1739780.1-ERZ1739780.26,,
UC_ERR1297771,ERZ1739781,PRJEB41812,ERS1069665,ERZ1739781.1-ERZ1739781.1387,,
UC_ERR1913309,ERZ1739782,PRJEB41812,ERS1647307,ERZ1739782.1-ERZ1739782.292,,
UC_ERR1809142,ERZ1739783,PRJEB41812,ERS1509320,ERZ1739783.1-ERZ1739783.207,,
UC_ERR1600427,ERZ1739784,PRJEB41812,ERS1324487,ERZ1739784.1-ERZ1739784.32,,
UC_ERR695618,ERZ1739785,PRJEB41812,ERS625326,ERZ1739785.1-ERZ1739785.140,,
UC_ERR1809141,ERZ1739786,PRJEB41812,ERS1509320,ERZ1739786.1-ERZ1739786.209,,
UC_ERR2014364,ERZ1739787,PRJEB41812,ERS1796489,ERZ1739787.1-ERZ1739787.288,,
UC_ERR1913268,ERZ1739788,PRJEB41812,ERS1647310,ERZ1739788.1-ERZ1739788.10,,
UC_ERR1297756,ERZ1739789,PRJEB41812,ERS1069662,ERZ1739789.1-ERZ1739789.1501,,
UC_ERR1809145,ERZ1739790,PRJEB41812,ERS1509321,ERZ1739790.1-ERZ1739790.378,,
UC_ERR695617,ERZ1739791,PRJEB41812,ERS625325,ERZ1739791.1-ERZ1739791.2250,,
UC_ERR719370,ERZ1739792,PRJEB41812,ERS634943,ERZ1739792.1-ERZ1739792.254,,
UC_ERR695616,ERZ1739793,PRJEB41812,ERS625324,ERZ1739793.1-ERZ1739793.2343,,
UC_ERR1809147,ERZ1739794,PRJEB41812,ERS1509321,ERZ1739794.1-ERZ1739794.94,,
UC_ERR2270939,ERZ1739795,PRJEB41812,ERS2160329,ERZ1739795.1-ERZ1739795.46,,
UC_ERR1809148,ERZ1739796,PRJEB41812,ERS1509322,ERZ1739796.1-ERZ1739796.809,,
UC_ERR1297758,ERZ1739797,PRJEB41812,ERS1069661,ERZ1739797.1-ERZ1739797.684,,
UC_ERR1297788,ERZ1739798,PRJEB41812,ERS1069690,ERZ1739798.1-ERZ1739798.502,,
UC_ERR1474565,ERZ1739799,PRJEB41812,ERS1202863,ERZ1739799.1-ERZ1739799.4136,,
UC_ERR1297790,ERZ1739800,PRJEB41812,ERS1069681,ERZ1739800.1-ERZ1739800.1251,,
UC_SRR035174,ERZ1739801,PRJEB41812,SRS010147,ERZ1739801.1-ERZ1739801.9,,
UC_ERR719385,ERZ1739802,PRJEB41812,ERS634967,ERZ1739802.1-ERZ1739802.671,,
UC_ERR1681530,ERZ1739803,PRJEB41812,ERS1374915,ERZ1739803.1-ERZ1739803.1625,,
UC_ERR1297812,ERZ1739804,PRJEB41812,ERS1069649,ERZ1739804.1-ERZ1739804.1225,,
UC_ERR719380,ERZ1739805,PRJEB41812,ERS634967,ERZ1739805.1-ERZ1739805.689,,
UC_ERR719879,ERZ1739806,PRJEB41812,ERS634952,ERZ1739806.1-ERZ1739806.730,,
UC_ERR1611393,ERZ1739807,PRJEB41812,ERS1336021,ERZ1739807.1-ERZ1739807.172,,
UC_ERR1611422,ERZ1739808,PRJEB41812,ERS1336050,ERZ1739808.1-ERZ1739808.428,,
UC_SRR1045094,ERZ1739809,PRJEB41812,SRS512696,ERZ1739809.1-ERZ1739809.966,,
UC_ERR1474612,ERZ1739810,PRJEB41812,SRS147126,ERZ1739810.1-ERZ1739810.5631,,
UC_ERR1913229,ERZ1739811,PRJEB41812,ERS1647291,ERZ1739811.1-ERZ1739811.301,,
UC_ERR719843,ERZ1739812,PRJEB41812,ERS634975,ERZ1739812.1-ERZ1739812.258,,
UC_ERR1297753,ERZ1739813,PRJEB41812,ERS1069647,ERZ1739813.1-ERZ1739813.590,,
UC_ERR719868,ERZ1739814,PRJEB41812,ERS634952,ERZ1739814.1-ERZ1739814.787,,
UC_ERR505083,ERZ1739815,PRJEB41812,ERS433542,ERZ1739815.1-ERZ1739815.5887,,
UC_SRR2034637,ERZ1739816,PRJEB41812,SRS942313,ERZ1739816.1-ERZ1739816.680,,
UC_ERR981249,ERZ1739817,PRJEB41812,ERS805757,ERZ1739817.1-ERZ1739817.264,,
UC_SRR1634039,ERZ1739818,PRJEB41812,SRS727154,ERZ1739818.1-ERZ1739818.86,,
UC_ERR719875,ERZ1739819,PRJEB41812,ERS634952,ERZ1739819.1-ERZ1739819.662,,
UC_ERR1022515,ERZ1739820,PRJEB41812,ERS853162,ERZ1739820.1-ERZ1739820.397,,
