BioProject,SRARunID,Microbiome,Number_of_unknown_contigs,Proportion_of_unknown_contigs,Number_of_unknown_bases,Proportion_of_unknown_bases
PRJEB5761,ERR451730,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451772,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451717,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451749,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451710,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451724,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451744,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451705,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451693,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451752,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451720,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451733,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451706,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451695,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451764,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451739,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451696,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451740,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451701,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451765,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451728,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451714,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451747,Fecal,0,0.0,0,0.0
PRJEB5761,ERR451694,Fecal,0,0.0,0,0.0
PRJEB10133,ERR981249,Skin,264,4.45,104484,1.91
PRJEB10133,ERR981247,Skin,798,4.76,348984,2.59
PRJEB10133,ERR981254,Skin,17,0.53,5682,0.38
PRJEB10133,ERR981245,Skin,2,0.08,645,0.04
PRJEB10133,ERR981251,Skin,188,1.32,80679,0.97
PRJEB10133,ERR981252,Skin,9,0.49,3907,0.47
PRJEB10133,ERR981248,Skin,2,2.63,609,1.81
PRJEB10133,ERR981253,Skin,0,0.0,0,0.0
PRJEB10133,ERR981246,Skin,28,14.89,9988,11.05
PRJEB10133,ERR981250,Skin,1,2.04,318,1.41
PRJEB23207,ERR2270938,Fecal,104,0.45,62713,0.16
PRJEB23207,ERR2270941,Fecal,657,0.95,360289,0.35
PRJEB23207,ERR2271237,Fecal,381,0.6,196434,0.22
PRJEB23207,ERR2271236,Fecal,277,1.04,181365,0.28
PRJEB23207,ERR2270939,Fecal,46,0.25,26630,0.09
PRJEB23207,ERR2270961,Fecal,173,0.75,104652,0.23
PRJEB23207,ERR2270960,Fecal,62,0.45,39339,0.09
PRJEB23207,ERR2271042,Fecal,165,0.54,92538,0.18
PRJEB23207,ERR2270940,Fecal,107,0.49,57490,0.15
PRJEB23207,ERR2270962,Fecal,52,0.32,29056,0.11
PRJEB23207,ERR2271043,Fecal,890,1.63,547169,0.65
PRJEB10865,ERR1017172,Fecal,0,0.0,0,0.0
PRJEB10865,ERR1017173,Fecal,0,0.0,0,0.0
PRJEB20877,ERR1989829,Pulmonary system,7,1.52,2913,1.41
PRJEB20877,ERR1989828,Pulmonary system,469,4.2,203887,1.33
PRJEB19090,ERR1809130,Fecal,213,1.03,103643,0.36
PRJEB19090,ERR1809142,Fecal,207,0.88,98930,0.4
PRJEB19090,ERR1809128,Fecal,190,0.93,94110,0.34
PRJEB19090,ERR1809119,Fecal,362,1.08,149836,0.41
PRJEB19090,ERR1809151,Fecal,44,0.58,19049,0.19
PRJEB19090,ERR1809139,Fecal,542,1.64,229507,0.72
PRJEB19090,ERR1809121,Fecal,364,1.06,150470,0.4
PRJEB19090,ERR1809149,Fecal,83,0.95,36954,0.27
PRJEB19090,ERR1809152,Fecal,26,0.48,10324,0.12
PRJEB19090,ERR1809124,Fecal,51,0.67,19923,0.41
PRJEB19090,ERR1809148,Fecal,809,2.48,390096,1.22
PRJEB19090,ERR1809122,Fecal,320,0.96,135058,0.38
PRJEB19090,ERR1809120,Fecal,359,1.1,149034,0.43
PRJEB19090,ERR1809150,Fecal,23,0.21,10614,0.12
PRJEB19090,ERR1809137,Fecal,172,1.26,80342,0.33
PRJEB19090,ERR1809147,Fecal,94,2.23,52722,1.36
PRJEB19090,ERR1809134,Fecal,179,0.99,80832,0.26
PRJEB19090,ERR1809125,Fecal,311,1.02,138481,0.41
PRJEB19090,ERR1809155,Fecal,214,1.79,117483,0.81
PRJEB19090,ERR1809144,Fecal,203,0.86,93599,0.37
PRJEB19090,ERR1809138,Fecal,550,1.67,234544,0.74
PRJEB19090,ERR1809153,Fecal,174,1.42,88940,0.41
PRJEB19090,ERR1809136,Fecal,166,0.84,75720,0.23
PRJEB19090,ERR1809146,Fecal,351,1.76,163584,0.72
PRJEB19090,ERR1809143,Fecal,206,0.87,98042,0.39
PRJEB19090,ERR1809154,Fecal,214,1.16,91027,0.72
PRJEB19090,ERR1809140,Fecal,316,1.3,134208,0.6
PRJEB19090,ERR1809123,Fecal,361,1.06,150353,0.41
PRJEB19090,ERR1809145,Fecal,378,1.87,174507,0.77
PRJEB19090,ERR1809156,Fecal,86,0.67,57844,0.33
PRJEB19090,ERR1809135,Fecal,196,0.96,90967,0.28
PRJEB19090,ERR1809133,Fecal,168,0.86,76920,0.24
PRJEB19090,ERR1809141,Fecal,209,0.86,97999,0.38
PRJEB19090,ERR1809131,Fecal,218,1.08,103009,0.37
PRJEB19090,ERR1809129,Fecal,186,0.97,94418,0.35
PRJEB19090,ERR1809132,Fecal,204,1.28,102807,0.43
PRJEB19090,ERR1809126,Fecal,288,0.96,127858,0.38
PRJEB14539,ERR1466399,Sputum,0,0.0,0,0.0
PRJEB6092,ERR505085,Fecal,5371,3.85,2928927,1.11
PRJEB6092,ERR505103,Fecal,871,1.51,425962,0.32
PRJEB6092,ERR505101,Fecal,1485,1.74,846266,0.56
PRJEB6092,ERR505083,Fecal,5887,5.12,3215735,1.44
PRJEB6092,ERR505106,Fecal,3671,3.41,1908244,1.0
PRJEB6092,ERR505091,Fecal,1463,1.55,681541,0.42
PRJEB6092,ERR505090,Fecal,2856,2.67,1443144,0.73
PRJEB6092,ERR505097,Fecal,2691,2.72,1358273,0.88
PRJEB6092,ERR505105,Fecal,3675,2.95,1959914,0.87
PRJEB6092,ERR505100,Fecal,2646,3.54,1608663,1.15
PRJEB6092,ERR505092,Fecal,2062,2.4,1090629,0.74
PRJEB6092,ERR505099,Fecal,1445,1.99,863409,0.61
PRJEB6092,ERR505086,Fecal,4946,3.83,2684543,1.14
PRJEB6092,ERR505093,Fecal,2212,2.34,1051418,0.54
PRJEB6092,ERR505084,Fecal,7740,6.44,5152650,1.95
PRJEB6092,ERR505102,Fecal,1941,2.49,955506,0.73
PRJEB6092,ERR505089,Fecal,3547,2.82,1755852,0.8
PRJEB6092,ERR505095,Fecal,1984,2.69,1067057,1.0
PRJEB6092,ERR505088,Fecal,4644,3.21,2225520,0.88
PRJEB6092,ERR505098,Fecal,3360,3.17,1963450,1.16
PRJEB6092,ERR505087,Fecal,1901,2.24,906245,0.53
PRJEB6092,ERR505104,Fecal,1147,2.13,594989,0.56
PRJEB6092,ERR505096,Fecal,1751,3.35,975101,1.29
PRJEB6092,ERR505094,Fecal,2701,3.1,1357415,0.74
PRJEB14935,ERR1549323,Fecal,0,0.0,0,0.0
PRJEB14935,ERR1549321,Fecal,2,0.09,628,0.0
PRJEB14935,ERR1549320,Fecal,6,0.15,2344,0.02
PRJEB12998,ERR1307207,Oral,62,5.03,47748,0.43
PRJEB18265,ERR1744180,Fecal,1091,1.28,530328,0.5
PRJEB18265,ERR1744181,Fecal,581,1.01,323713,0.35
PRJEB18265,ERR1744182,Fecal,0,0.0,0,0.0
PRJEB18265,ERR1744189,Fecal,3088,2.75,1611412,0.81
PRJEB18265,ERR1744187,Fecal,1627,1.69,796391,0.45
PRJEB18265,ERR1744184,Fecal,4705,3.55,2527541,1.15
PRJEB18265,ERR1744183,Fecal,258,0.62,142210,0.18
PRJEB18265,ERR1744186,Fecal,1822,1.99,900187,0.67
PRJEB18265,ERR1744185,Fecal,288,0.64,136445,0.15
PRJEB18265,ERR1744188,Fecal,2990,3.4,1555186,1.14
PRJEB21816,ERR2043665,Circulatory system,0,0.0,0,0.0
PRJEB7331,ERR634991,Fecal,1055,2.99,465328,0.6
PRJEB7331,ERR634987,Fecal,333,3.44,178709,0.26
PRJEB7331,ERR634983,Fecal,971,1.17,450981,0.25
PRJEB7331,ERR634978,Fecal,203,1.61,100858,0.16
PRJEB7331,ERR634986,Fecal,804,1.21,353731,0.22
PRJEB7331,ERR634976,Fecal,1918,2.36,890334,0.51
PRJEB7331,ERR634980,Fecal,529,1.11,227743,0.19
PRJEB7331,ERR634992,Fecal,433,1.11,192183,0.2
PRJEB7331,ERR634973,Fecal,2522,2.07,1239099,0.44
PRJEB7331,ERR634971,Fecal,4560,3.38,2166707,0.91
PRJEB7331,ERR634993,Fecal,232,3.71,134490,0.41
PRJEB7331,ERR634972,Fecal,869,1.25,398879,0.23
PRJEB7331,ERR634989,Fecal,526,1.1,229532,0.15
PRJEB7331,ERR634975,Fecal,2563,3.29,1251326,0.56
PRJEB7331,ERR634990,Fecal,632,1.81,274086,0.25
PRJEB7331,ERR634982,Fecal,260,1.12,113390,0.16
PRJEB7331,ERR634979,Fecal,572,2.77,246513,0.51
PRJEB7331,ERR634974,Fecal,874,1.39,358229,0.21
PRJEB7331,ERR634981,Fecal,105,0.87,42572,0.05
PRJEB7331,ERR634988,Fecal,665,3.44,306876,0.45
PRJEB7331,ERR634985,Fecal,52,1.73,22149,0.16
PRJEB7331,ERR634977,Fecal,1174,1.42,546935,0.27
PRJEB7331,ERR634994,Fecal,944,2.23,433361,0.37
PRJEB7331,ERR634984,Fecal,75,2.45,40778,0.16
PRJEB24753,ERR2278753,Circulatory system,0,0.0,0,0.0
PRJEB24753,ERR2278752,Circulatory system,0,0.0,0,0.0
PRJEB7248,ERR598793,Lung,0,0.0,0,0.0
PRJEB7248,ERR598795,Lung,98,0.68,49185,0.3
PRJEB7248,ERR598789,Lung,18,0.92,9041,0.84
PRJEB7248,ERR598788,Lung,44,1.75,20397,1.36
PRJEB7248,ERR598791,Lung,0,0.0,0,0.0
PRJEB7248,ERR598792,Lung,131,2.02,76636,1.37
PRJEB7248,ERR598794,Lung,510,2.21,259327,1.21
PRJEB7248,ERR598790,Lung,0,0.0,0,0.0
PRJNA230363,SRR2037091,Oral,2318,4.4,1192238,3.37
PRJNA230363,SRR2034640,Oral,1048,2.23,555542,1.43
PRJNA230363,SRR2037090,Oral,3629,3.18,2151054,1.6
PRJNA230363,SRR2037084,Oral,2696,23.54,1567785,11.65
PRJNA230363,SRR1044032,Oral,1339,3.95,571850,2.77
PRJNA230363,SRR2037089,Oral,3720,3.28,2195696,1.66
PRJNA230363,SRR1045097,Oral,1482,1.93,671545,1.0
PRJNA230363,SRR1044006,Oral,2248,2.76,1039964,1.3
PRJNA230363,SRR2034638,Oral,763,2.22,369311,1.47
PRJNA230363,SRR1045100,Oral,152,2.47,62460,1.2
PRJNA230363,SRR1045092,Oral,996,3.04,443074,1.52
PRJNA230363,SRR1044034,Oral,731,3.01,329333,1.98
PRJNA230363,SRR2037087,Oral,1817,4.37,914556,3.51
PRJNA230363,SRR2037083,Oral,4766,19.5,2964461,10.93
PRJNA230363,SRR1044017,Oral,615,2.19,258771,1.41
PRJNA230363,SRR1045094,Oral,966,2.01,433352,1.23
PRJNA230363,SRR2034639,Oral,1661,2.11,736798,1.35
PRJNA230363,SRR1045096,Oral,1419,2.74,652122,1.65
PRJNA230363,SRR1045095,Oral,362,1.33,186129,0.65
PRJNA230363,SRR1044033,Oral,820,3.22,332939,1.98
PRJNA230363,SRR2037088,Oral,3039,3.49,1852473,2.28
PRJNA230363,SRR1045093,Oral,840,3.89,485410,1.38
PRJNA230363,SRR1044036,Oral,478,4.37,223438,4.21
PRJNA230363,SRR1044035,Oral,2263,4.84,1143966,3.34
PRJNA230363,SRR1045099,Oral,425,2.13,193036,1.03
PRJNA230363,SRR2037085,Oral,7203,6.47,4141649,4.02
PRJNA230363,SRR1045098,Oral,164,2.63,73874,1.27
PRJNA230363,SRR2034637,Oral,680,2.36,313636,1.69
PRJEB21446,ERR2014357,Vagina,4,0.31,1528,0.08
PRJEB21446,ERR2014389,Vagina,7,0.42,2866,0.11
PRJEB21446,ERR2014383,Vagina,239,1.36,114403,0.5
PRJEB21446,ERR2014378,Vagina,128,0.95,54795,0.42
PRJEB21446,ERR2014385,Vagina,2,1.27,1172,0.08
PRJEB21446,ERR2014372,Vagina,108,0.89,45090,0.32
PRJEB21446,ERR2014381,Vagina,16,0.52,6852,0.14
PRJEB21446,ERR2014368,Vagina,15,0.61,5795,0.17
PRJEB21446,ERR2014384,Vagina,1,0.51,368,0.03
PRJEB21446,ERR2014387,Vagina,3,0.8,1558,0.11
PRJEB21446,ERR2014376,Vagina,311,2.23,167497,1.12
PRJEB21446,ERR2014386,Vagina,5,1.95,1954,0.14
PRJEB21446,ERR2014362,Vagina,23,0.91,10956,0.38
PRJEB21446,ERR2014393,Vagina,144,1.27,62935,0.51
PRJEB21446,ERR2014379,Vagina,6,0.49,2055,0.07
PRJEB21446,ERR2014380,Vagina,41,0.98,19012,0.38
PRJEB21446,ERR2014359,Vagina,107,1.36,45965,0.5
PRJEB21446,ERR2014358,Vagina,186,1.3,81896,0.52
PRJEB21446,ERR2014371,Vagina,195,1.8,101038,0.68
PRJEB21446,ERR2014369,Vagina,30,0.76,14133,0.41
PRJEB21446,ERR2014360,Vagina,21,0.51,7714,0.11
PRJEB21446,ERR2014392,Vagina,201,1.87,94182,0.79
PRJEB21446,ERR2014390,Vagina,77,0.87,33239,0.37
PRJEB21446,ERR2014388,Vagina,270,1.26,134978,0.69
PRJEB21446,ERR2014366,Vagina,3,0.82,1073,0.08
PRJEB21446,ERR2014374,Vagina,250,2.03,120908,0.97
PRJEB21446,ERR2014354,Vagina,137,1.03,57896,0.37
PRJEB21446,ERR2014377,Vagina,34,0.99,12331,0.32
PRJEB21446,ERR2014382,Vagina,1,0.11,506,0.02
PRJEB21446,ERR2014356,Vagina,5,1.32,1986,0.15
PRJEB21446,ERR2014361,Vagina,305,1.41,129320,0.65
PRJEB21446,ERR2014373,Vagina,10,0.52,4881,0.16
PRJEB21446,ERR2014391,Vagina,68,0.74,30469,0.29
PRJEB21446,ERR2014365,Vagina,426,1.9,181200,0.79
PRJEB21446,ERR2014370,Vagina,140,1.3,70520,0.58
PRJEB21446,ERR2014363,Vagina,289,1.42,135132,0.75
PRJEB21446,ERR2014364,Vagina,288,1.56,150367,0.87
PRJEB21446,ERR2014375,Vagina,102,1.11,50004,0.45
PRJEB21446,ERR2014355,Vagina,2,0.22,881,0.08
PRJEB21446,ERR2014367,Vagina,199,0.9,87436,0.41
PRJEB11554,ERR1102739,Fecal,13,0.17,6709,0.02
PRJNA306560,SRR6364990,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365001,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364989,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364984,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364998,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365017,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365011,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365022,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365029,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365036,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365028,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364997,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365010,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365021,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365009,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365026,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365013,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365020,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365014,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365015,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365002,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364988,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365005,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364994,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364987,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365012,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364985,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365027,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364992,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365031,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365007,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364996,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365025,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365008,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365030,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365006,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364999,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364993,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364995,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365034,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365023,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364986,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365004,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365033,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365019,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365024,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365032,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365000,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365035,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6364991,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365003,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365018,Saliva,0,0.0,0,0.0
PRJNA306560,SRR6365016,Saliva,0,0.0,0,0.0
PRJEB15257,ERR1600439,Fecal,18,0.25,8189,0.05
PRJEB15257,ERR1600437,Fecal,2,0.07,697,0.01
PRJEB15257,ERR1600434,Fecal,19,0.2,8696,0.04
PRJEB15257,ERR1600436,Fecal,3,0.06,1211,0.01
PRJEB15257,ERR1600440,Fecal,4,0.11,1834,0.01
PRJEB15257,ERR1600426,Fecal,4,0.19,2411,0.01
PRJEB15257,ERR1600428,Fecal,4,0.08,2129,0.01
PRJEB15257,ERR1600427,Fecal,32,0.22,15690,0.05
PRJEB15257,ERR1600438,Fecal,3,0.12,1431,0.01
PRJEB15257,ERR1600433,Fecal,56,0.37,24004,0.11
PRJEB15257,ERR1600435,Fecal,1,0.01,347,0.0
PRJEB15257,ERR1600432,Fecal,3,0.05,1402,0.01
PRJEB15257,ERR1600429,Fecal,7,0.22,3596,0.02
PRJEB15257,ERR1600430,Fecal,1,0.13,1971,0.01
PRJEB15257,ERR1600431,Fecal,1,0.1,311,0.0
PRJEB7949,ERR695614,Fecal,1963,1.63,842137,0.68
PRJEB7949,ERR695604,Fecal,1119,1.13,493793,0.33
PRJEB7949,ERR695637,Fecal,711,1.3,324425,0.4
PRJEB7949,ERR695629,Fecal,1700,1.8,792802,0.62
PRJEB7949,ERR695636,Fecal,729,1.35,334985,0.41
PRJEB7949,ERR695630,Fecal,1659,1.78,806711,0.61
PRJEB7949,ERR695612,Fecal,857,1.33,364849,0.65
PRJEB7949,ERR695610,Fecal,2835,2.37,1253101,0.84
PRJEB7949,ERR695628,Fecal,1749,1.86,791207,0.63
PRJEB7949,ERR695600,Fecal,2104,1.94,1001149,0.64
PRJEB7949,ERR695620,Fecal,6266,5.79,3191029,1.83
PRJEB7949,ERR695625,Fecal,544,1.13,247895,0.21
PRJEB7949,ERR695609,Fecal,1818,1.61,891332,0.5
PRJEB7949,ERR695608,Fecal,1957,1.67,958304,0.52
PRJEB7949,ERR695624,Fecal,613,1.24,283941,0.23
PRJEB7949,ERR695599,Fecal,2566,1.94,1199756,0.75
PRJEB7949,ERR695613,Fecal,812,1.3,352052,0.64
PRJEB7949,ERR695627,Fecal,3852,4.91,1878827,1.61
PRJEB7949,ERR695605,Fecal,1081,1.13,485980,0.33
PRJEB7949,ERR695623,Fecal,147,0.91,66024,0.16
PRJEB7949,ERR695634,Fecal,1781,3.0,828486,1.02
PRJEB7949,ERR695598,Fecal,2292,1.83,1061766,0.72
PRJEB7949,ERR695626,Fecal,3867,4.97,1875693,1.61
PRJEB7949,ERR695621,Fecal,5869,5.78,2996158,1.79
PRJEB7949,ERR695611,Fecal,2599,2.31,1166884,0.82
PRJEB7949,ERR695606,Fecal,1454,1.53,761070,0.63
PRJEB7949,ERR695631,Fecal,1676,1.78,802871,0.6
PRJEB7949,ERR695607,Fecal,1391,1.53,735767,0.63
PRJEB7949,ERR695618,Fecal,140,0.84,60337,0.15
PRJEB7949,ERR695615,Fecal,1857,1.61,785391,0.66
PRJEB7949,ERR695603,Fecal,1862,1.72,859054,0.62
PRJEB7949,ERR695619,Fecal,136,0.85,56803,0.15
PRJEB7949,ERR695632,Fecal,1584,1.47,693214,0.62
PRJEB7949,ERR695633,Fecal,1621,1.49,712293,0.64
PRJEB7949,ERR695617,Fecal,2250,1.79,981767,0.68
PRJEB7949,ERR695601,Fecal,2341,2.02,1103834,0.65
PRJEB7949,ERR695622,Fecal,178,1.05,75381,0.18
PRJEB7949,ERR695616,Fecal,2343,1.79,1015823,0.68
PRJEB7949,ERR695635,Fecal,1759,2.95,808559,0.99
PRJEB7949,ERR695602,Fecal,1952,1.7,898204,0.62
PRJNA384402,SRR5576430,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576428,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576434,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576435,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576426,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576427,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576433,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576438,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576425,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576429,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576441,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576439,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576436,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576431,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576437,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576440,Oral,0,0.0,0,0.0
PRJNA384402,SRR5576432,Oral,0,0.0,0,0.0
PRJEB19367,ERR1823607,Fecal,1382,2.5,610539,0.78
PRJEB19367,ERR1823605,Fecal,880,1.88,408230,0.43
PRJEB19367,ERR1823587,Fecal,1612,1.79,727092,0.52
PRJEB19367,ERR1823600,Fecal,675,1.31,293484,0.48
PRJEB19367,ERR1823596,Fecal,1076,1.57,486838,0.49
PRJEB19367,ERR1823602,Fecal,888,1.91,379203,0.52
PRJEB19367,ERR1823597,Fecal,1454,1.95,645024,0.56
PRJEB19367,ERR1823610,Fecal,232,0.72,130079,0.2
PRJEB19367,ERR1823613,Fecal,57,0.69,31135,0.07
PRJEB19367,ERR1823598,Fecal,1753,3.49,767986,1.05
PRJEB19367,ERR1823603,Fecal,168,1.45,74097,0.17
PRJEB19367,ERR1823601,Fecal,320,0.76,135480,0.19
PRJEB19367,ERR1823608,Fecal,358,1.3,165622,0.39
PRJEB19367,ERR1823595,Fecal,3343,2.88,1539561,1.14
PRJEB19367,ERR1823611,Fecal,371,1.4,165267,0.51
PRJEB19367,ERR1823593,Fecal,1334,2.14,568962,0.52
PRJEB19367,ERR1823592,Fecal,3011,3.03,1380735,1.25
PRJEB19367,ERR1823606,Fecal,129,0.79,51521,0.11
PRJEB19367,ERR1823590,Fecal,684,1.52,296744,0.35
PRJEB19367,ERR1823599,Fecal,1848,2.13,798261,0.92
PRJEB19367,ERR1823612,Fecal,499,1.85,239763,0.49
PRJEB19367,ERR1823591,Fecal,2701,2.9,1227075,1.06
PRJEB19367,ERR1823609,Fecal,304,0.84,129423,0.27
PRJEB19367,ERR1823604,Fecal,741,1.55,344215,0.39
PRJEB19367,ERR1823614,Fecal,258,1.59,132438,0.31
PRJEB19367,ERR1823589,Fecal,494,0.86,238327,0.24
PRJEB19367,ERR1823588,Fecal,1141,1.81,540201,0.72
PRJEB19367,ERR1823594,Fecal,3609,2.89,1701736,1.13
PRJEB12831,ERR1681524,Oral,3469,7.79,1507336,5.52
PRJEB12831,ERR1681526,Oral,874,3.13,326283,2.85
PRJEB12831,ERR1681536,Oral,0,0.0,0,0.0
PRJEB12831,ERR1659116,Oral,579,3.52,208704,3.21
PRJEB12831,ERR1681529,Oral,1,14.29,363,15.2
PRJEB12831,ERR1681541,Oral,1017,4.02,402709,1.99
PRJEB12831,ERR1659120,Oral,1718,4.14,690579,3.01
PRJEB12831,ERR1681540,Oral,1302,9.78,497269,9.11
PRJEB12831,ERR1681538,Oral,1697,4.4,693221,3.12
PRJEB12831,ERR1659111,Oral,474,3.47,171800,3.13
PRJEB12831,ERR1659119,Oral,711,4.04,270883,3.52
PRJEB12831,ERR1659118,Oral,3238,4.45,1433640,2.8
PRJEB12831,ERR1681533,Oral,488,4.44,181002,4.15
PRJEB12831,ERR1681527,Oral,1925,4.08,811668,2.9
PRJEB12831,ERR1681530,Oral,1625,3.26,660443,2.68
PRJEB12831,ERR1659115,Oral,873,4.1,358667,2.88
PRJEB12831,ERR1681534,Oral,1485,4.38,618398,2.92
PRJEB12831,ERR1681539,Oral,0,0.0,0,0.0
PRJEB12831,ERR1659113,Oral,1699,4.84,697406,3.27
PRJEB12831,ERR1659112,Oral,651,6.11,268711,2.69
PRJEB12831,ERR1659117,Oral,896,3.69,366509,2.67
PRJEB12831,ERR1681532,Oral,1761,4.63,694024,3.69
PRJEB12831,ERR1681542,Oral,755,3.4,317444,2.69
PRJEB12831,ERR1681523,Oral,1624,8.49,682373,4.41
PRJEB12831,ERR1659110,Oral,966,4.16,391901,3.61
PRJEB12831,ERR1681535,Oral,615,3.45,251248,2.73
PRJEB12831,ERR1659114,Oral,1000,3.99,385106,3.49
PRJEB12831,ERR1681528,Oral,0,0.0,0,0.0
PRJEB12831,ERR1681525,Oral,132,2.26,47000,2.04
PRJEB12831,ERR1681531,Oral,117,3.62,42085,3.43
PRJEB12831,ERR1681537,Oral,1559,13.23,575935,12.7
PRJEB1775,ERR260489,Fecal,137,0.14,54093,0.06
PRJEB1775,ERR262952,Fecal,33,0.06,12801,0.02
PRJEB1775,ERR260483,Fecal,100,0.16,41111,0.07
PRJEB1775,ERR262940,Fecal,58,0.14,21830,0.03
PRJEB1775,ERR262943,Fecal,0,0.0,0,0.0
PRJEB1775,ERR262946,Fecal,59,0.08,27056,0.03
PRJEB1775,ERR260484,Fecal,59,0.09,23192,0.03
PRJEB1775,ERR260493,Fecal,162,0.14,66650,0.07
PRJEB1775,ERR262945,Fecal,65,0.16,23097,0.06
PRJEB1775,ERR260501,Fecal,61,0.09,23978,0.04
PRJEB1775,ERR262948,Fecal,104,0.13,39812,0.05
PRJEB1775,ERR260477,Fecal,40,0.09,15386,0.03
PRJEB1775,ERR260476,Fecal,45,0.16,17498,0.04
PRJEB1775,ERR260487,Fecal,60,0.16,23453,0.04
PRJEB1775,ERR260494,Fecal,144,0.15,57761,0.06
